Term,Abbreviations,Meaning,Links,Category,Rarity,Usage Notes,Questions and to-do items,Markdown Links,In Contract?,
UNITE HERE,,"A labor union in the United States and Canada with roughly 300,000 active members. The union's members work predominantly in the hotel, food service, laundry, warehouse, and casino gaming industries. ",,Other Unions,,,,,,
Student Health Center,SHC,The on-campus UCSC medical clinic. ,,Geography,,,,,,
Federal Mediation and Conciliation Service,FMCS,,https://www.fmcs.gov/aboutus/,Contracts and Strikes,Rare,,,,,
Beck right,,"Federal law allows unions and employers to enter into ""union-security"" agreements which require all employees in a bargaining unit to become union members and begin paying union dues and fees within 30 days of being hired. Employees may choose not to become union members and pay dues, or opt to pay only that share of dues used directly for representation, such as collective bargaining and contract administration. Known as objectors, they are no longer union members, but are still protected by the contract. Unions are obligated to tell all covered employees about this option, which was created by a Supreme Court ruling and is known as the Beck right. (Source: https://www.nlrb.gov/about-nlrb/rights-we-protect/the-law/employees/union-dues)",,Laws and Regulations,,,,,,
right-to-work laws,,Laws that prohibit union security agreements in contracts between employers and labor unions. A union security agreement requires employees who are not union members to contribute to the costs of union representation.,,Laws and Regulations,,"May also be written as ""right to work""",,,,
union security agreement,,"If included in a union contract, a union security agreement requires employees who are not union members to contribute to the costs of union representation.",,Contracts and Strikes,,,,,,
reader,,A type of job at UCSC.,,Member Categories,  Common,What is the formal definition of a reader? What would constitute a misclassification?,,,,
CruzFly ,,A online tool used to submit trip reimbursements related.,"http://cruzfly.ucsc.edu
https://financial.ucsc.edu/Pages/CruzFly_Manual.aspx",Misc.,,,,,,
picket line,,"Picketing is a form of protest in which people (called pickets or picketers) congregate outside a place of work or location where an event is taking place. The purpose of picketing is to encourage people to not ""cross the picket line"", give strikers a place to congregate, and raise awareness of strikes. Although pickets usually happen at the same time as strikes, they are distinct events. ",,Contracts and Strikes,,,,,,
2024 memorandum of understanding,2024 MOU,"An agreement between two parties. In the context of the 2024 strike, an MOU was established between the UC and UAW 4811 to create an expedited processes for resolving improper discipline and wage thefts by the UC.",,Student and Worker Discipline,  Common,,,,,
University of California Education Abroad Program ,UCEAP,Study abroad program for undergrads.,https://uceap.universityofcalifornia.edu/about-uceap,Misc.,Rare,,,,,
retaliation,retal,"Retaliation is action such as discpline, discrimination, or dismissal taken against workers for union activities, such as strikes or filing complaints against the UC. There are laws that protect workers from retaliation in many cases.",,Student and Worker Discipline,  Common,,,,yes,
grievance mediation,,Grievance mediation is an optional step in resolving complaints against the UC,,,  Common,,,,yes,
fee remission,,Fee remission means that the UC does not charge fees that it would otherwise. ,,,  Common,,,,yes,
appointment security,,Appointment security means that the UC cannot withdraw an job offer after it has been accepted. ,,,  Common,,,,yes,
centralized transitional funding,,"Transitional funding is short-term funding offered to grad students to allow students to change advisors/funding sources due to having ethical complaints about their research or have a bad relationship with their advisor. If the transitional funding is provided by the UC (instead of departments), then it is called centralized transitional funding. Centralized transitional funding was a demand of the 2024 strike. In October 2024, the UC started to offer transitional funding to UCLA students.",,, Uncommon,,,,,
workload protections,,"Workload protections, ensrined in the contracts, ensures that the UC cannot ask workers to work beyond the number of hours stated in their appointment, nor beyond a daily limit of 8 hours.",,,  Common,,,,yes,
reasonable accommodation,,A reasonable accommodation is an adjustment made in a system to accommodate or make fair the same system for an individual based on a proven need.,https://www.eeoc.gov/laws/guidance/enforcement-guidance-reasonable-accommodation-and-undue-hardship-under-ada#types,,  Common,,,,yes,
statewide,SW,"In the context of the local union chapter, ""statewide"" refers to the UAW 4811 leadership. ",,, Uncommon,,,,,
Clery Act,,,,Laws and Regulations,Rare,,,,,
Academic Personnel Manual ,APM,,,,,,,,,
UC Student Association,UCSA,"""UCSA/UCGPC fees are charged quarterly.  Students can opt out of these fees using the opt out form found under their corresponding (Undergrad/Grad) eForms tile.  Look for the UCSA/UCPGC Registration Fee Opt-out link.  Deadline for opting out for Fall 2024 is October, 16 2024.""",,,,,,,,
UC Graduate and Professional Councill,UCGPC ,"""UCSA/UCGPC fees are charged quarterly.  Students can opt out of these fees using the opt out form found under their corresponding (Undergrad/Grad) eForms tile.  Look for the UCSA/UCPGC Registration Fee Opt-out link.  Deadline for opting out for Fall 2024 is October, 16 2024.""",,,,,,,,
Student Business Services,SBS,,,UC Structure,,,,,,
dependent care,DepCare,,,,,,,,yes,
de minimis,,"Definition: ""Lacking significance or importance: so minor as to merit disregard."" For workers on fellowships, ""de minimis service"" disqualifies them from joining the union, per Article 1 of the 2022-2025 GSR contract.",,Contracts and Strikes, Uncommon,,,,yes,
Student Services Fee,,Mentioned in Article 11 of 2022-2025 ASE contract.,,, Uncommon,,,,yes,
"UCnet
","UCnet
",???,https://ucnet.universityofcalifornia.edu/,,Rare,,,,yes?,
personal time off,PTO,,,,  Common,,,,yes,
arbitration,,"Arbitration is a process of bringing a dispute before a independent third party. For UAW complaints, arbitration occurs after the grievance process (between UAW and the UC directly) is exhausted. Only UAW may bring complaints to arbitration—not the UC.",,, Uncommon,,,,yes,
Partial Fee Remission,,"The ASE and GSR contracts guarantee ""partial fee remission"" when workers work 50% or more. The ""partial"" part of the name is a misnomer, since it covers all campus fees.",,,  Common,,,,yes,
Joint Labor Meeting,JLM,"A Joint Labor Management meeting is a meeting between Labor Relations and the union, usually to discuss new policies or changes in workplace conditions. Many of these happened during the pandemic transition to remote work, for example. They are formal meetings, but they are not negotiations.",,Misc.,Rare,,,,,
Run of Show,RoS,"""A Run of Show is a comprehensive, detailed plan encapsulating an event's timeline, flow, and logistics. It outlines each essential action, who is responsible for it, its duration, and when it will occur."" (Source: https://eventify.io/blog/event-run-of-show-with-template)",,,,,,,,
Jotform,,An online survey tool used by UAW 4811.,https://www.jotform.com/,Misc.,,,,,,
top off,,"A top off was a practice by the UC to give TAs in some STEM departments to raise their wages to match the wages of GSRs. After the ratification of the 2022 contract, the UC declared that top-ffs would end, but this was overthrown as the result of a grievance filed by UAW. ",,,,,,,maybe,
insurance premium,,The baseline monthly fee paid for insurance coverage regardless of the care received.,,,,,,,maybe,
insurance copay,,A copay (or copayment) is a flat fee that you pay on the spot each time you go to your doctor or fill a prescription. ,https://www.cigna.com/knowledge-center/copays-deductibles-coinsurance,,,,,,,
insurance out-of-pocket maximum,,"An out-of-pocket maximum is a cap, or limit, on the amount of money you have to pay for covered health care services in a plan year. If you meet that limit, your health plan will pay 100% of all covered health care costs for the rest of the plan year. Some health insurance plans call this an out-of-pocket limit. A plan year is the 12 months between the date your coverage is effective and the date your coverage ends.","https://www.cigna.com/knowledge-center/what-is-an-out-of-pocket-maximum#:~:text=The%20out%2Dof%2Dpocket%20maximum%20is%20the%20most%20you',plan%20starts%20covering%20your%20care.",,,,,,,
coinsurance ,,Coinsurance is a portion of the medical cost you pay after your deductible has been met.,https://www.cigna.com/knowledge-center/copays-deductibles-coinsurance,,,,,,,
student health services,SHS,,,,,,,,,
University of California Medical Center,UCMC,,,,,,,,,
Quarry Plaza,QP,"The courtyard between the UCSC bookstore, and Iveta and the GSC",,,,,,,,
insurance deductible,,A deductible is the amount you pay each year for most eligible medical services or medications before your health plan begins to share in the cost of covered services.,https://www.cigna.com/knowledge-center/copays-deductibles-coinsurance,,,,,,,
new employee orientation,NEO,,https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_appendix-l_neo-information_2022-2025.pdf,,,,,,yes?,
loco parentis,,"The Latin term in loco parentis, which means “in place of a parent,” or “instead of a parent,” refers to situations in which someone other than a biological parent takes on the role of parent to a minor child without formally adopting the child.",,,,,,,yes,
Graduate Student Health Insurance Plan,GSHIP,,https://shc.uci.edu/insurance/uc-ship-benefits-and-information/gship,,,,,,,
CA Senate Bill No. 698,SB 698,Establishes penalties for late payment of wages by the UC.,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB698,,,,,,,
